# 对比度审计基线：已知、未处置的存量。含义不是「可接受」，只是「还没排到」。
# 判定为可以永远这样的走主题 .md 里的 <!-- contrast-ok: ... --> 注记，两者不许混。
# 只许减、不许增——脚本管不了这条，唯一护栏是人读这份文件的 diff。
# 前 7 列是键；比值与处数只作参考，不参与比对。
主题	元素	前景	底	字号	字重	类	比值(参考)	处数(参考)
01-autumn-warm	em	#d97758	#fef4e7	16	400	装饰	2.87	1
01-autumn-warm	h3	#c06b4d	#fafafa	17	600	文字	3.69	7
01-autumn-warm	span	#c06b4d	#fdf8f2	13.5	400	文字	3.65	39
01-autumn-warm	span	#c06b4d	#fef4e7	16	400	文字	3.54	159
01-autumn-warm	span	#c06b4d	#fef4e7	15	400	文字	3.54	18
01-autumn-warm	span	#c06b4d	#fef4e7	14	400	文字	3.54	14
01-autumn-warm	span	#c06b4d	#fef4e7	16	700	文字	3.54	3
01-autumn-warm	span	#d97758	#fafafa	20	700	装饰	2.99	11
01-autumn-warm	span	#d97758	#fafafa	16	400	装饰	2.99	9
01-autumn-warm	strong	#c06b4d	#fafafa	16	700	文字	3.69	54
01-autumn-warm	strong	#c06b4d	#fafafa	14	700	文字	3.69	1
01-autumn-warm	strong	#c06b4d	#fef4e7	15	700	文字	3.54	6
01-autumn-warm	th	#c06b4d	#fef4e7	14	700	文字	3.54	7
03-spring-fresh	em	#6b9b7a	#e8f0e8	16	400	装饰	2.74	1
03-spring-fresh	span	#6b9b7a	#f3f7f4	20	700	装饰	2.95	11
03-spring-fresh	span	#6b9b7a	#f3f7f4	16	400	装饰	2.95	9
08-morandi-fog	span	#b08e8a	#e6e1de	13	400	文字	2.29	208
08-morandi-fog	span	#b08e8a	#e6e1de	13	600	文字	2.29	3
08-morandi-fog	strong	#b08e8a	#e6e1de	14.5	600	文字	2.29	6
08-morandi-fog	strong	#b08e8a	#f7f5f3	15.5	600	文字	2.73	54
08-morandi-fog	strong	#b08e8a	#f7f5f3	14	600	文字	2.73	1
10-lavender-dusk	span	#7f6a9e	#eee9f5	13	400	文字	3.95	191
10-lavender-dusk	span	#7f6a9e	#eee9f5	13	600	文字	3.95	3
10-lavender-dusk	span	#b9a7d8	#f6f4f9	14	400	装饰	2.01	1
10-lavender-dusk	span	#b9a7d8	#ffffff	15.5	400	装饰	2.19	9
13-cyber-neon-v7-edge	em	#ff4ba3	#39456b	15.5	400	文字	3.03	1
14-celadon-scroll	span	#d8cfb8	#fbf7ec	20	600	装饰	1.45	22
15-mint-breeze	span	#2fa47e	#e6f2ec	13	400	装饰	2.71	77
16-arena-charge	span	#e03131	#ececea	13.5	400	文字	3.82	173
16-arena-charge	span	#e03131	#ececea	13.5	600	文字	3.82	18
16-arena-charge	span	#e03131	#ececea	13.5	800	文字	3.82	3
19-candy-pop	h2	#d96687	#fce8ee	18	700	文字	2.89	11
19-candy-pop	span	#7fb5d5	#faf0e8	13	400	装饰	1.97	77
19-candy-pop	span	#7fb5d5	#ffffff	15.5	400	装饰	2.22	4
19-candy-pop	span	#7fb5d5	#ffffff	16	700	装饰	2.22	7
19-candy-pop	span	#d96687	#fce8ee	13	400	文字	2.89	191
19-candy-pop	span	#d96687	#fce8ee	13	700	文字	2.89	3
19-candy-pop	span	#f28ba8	#faf0e8	13	400	装饰	2.07	17
19-candy-pop	span	#f28ba8	#ffffff	15.5	400	装饰	2.32	5
19-candy-pop	span	#f28ba8	#ffffff	16	700	装饰	2.32	7
19-candy-pop	strong	#d96687	#fce8ee	14.5	700	文字	2.89	6
19-candy-pop	strong	#d96687	#fdf6f0	14	700	文字	3.16	1
19-candy-pop	strong	#d96687	#ffffff	15.5	700	文字	3.39	54
19-candy-pop	th	#d96687	#fce8ee	14	700	文字	2.89	7
21-aurora-flow	em	#38c6d9	#ecebfb	13	600	文字	1.74	1
21-aurora-flow	h2	#ffffff	#38c6d9	17	700	文字	2.05	11
21-aurora-flow	span	#38c6d9	#ffffff	15.5	400	装饰	2.05	4
21-aurora-flow	span	#6a5cff	#ecebfb	13	400	文字	3.89	191
21-aurora-flow	span	#6a5cff	#ecebfb	13	700	文字	3.89	3
21-aurora-flow	strong	#6a5cff	#ecebfb	14.5	700	文字	3.89	6
22-blueprint-grid	em	#b26a1b	#e7eff7	13.5	400	文字	3.64	1
22-blueprint-grid	span	#b26a1b	#e7eff7	13	400	文字	3.64	77
23-terracotta-sun	h2	#fdf8f1	#c2593b	17	700	文字	4.15	11
23-terracotta-sun	strong	#c2593b	#efe0cd	14.5	700	文字	3.39	6
23-terracotta-sun	strong	#c2593b	#f8f0e7	14	700	文字	3.89	1
23-terracotta-sun	strong	#c2593b	#fdf8f1	15.5	700	文字	4.15	54
25-washi-spring	em	#8a9b6e	#f3e9e7	14	400	装饰	2.52	1
25-washi-spring	span	#8a9b6e	#f1ebe4	13	400	装饰	2.54	77
25-washi-spring	span	#8a9b6e	#faf6f2	15.5	600	装饰	2.79	7
25-washi-spring	span	#b56b7d	#f1ebe4	13	400	文字	3.31	17
25-washi-spring	span	#b56b7d	#f3e9e7	14	400	文字	3.28	191
25-washi-spring	span	#b56b7d	#f3e9e7	14	600	文字	3.28	3
25-washi-spring	strong	#b56b7d	#f3e9e7	14.5	600	文字	3.28	6
25-washi-spring	strong	#b56b7d	#faf6f2	15.5	600	文字	3.64	54
25-washi-spring	strong	#b56b7d	#faf6f2	14	600	文字	3.64	1
25-washi-spring	th	#b56b7d	#f3e9e7	14	600	文字	3.28	7
27-retro-phosphor	p	#5a7a58	#0a0e0a	14	400	文字	4.04	23
